System,Inference,Step3 D2,Step3 D3,Step3 Avg.,D2_acc_percent,D3_acc_percent,Avg_acc_percent,Step3 D2 macro,Step3 D3 macro,D2_macro_percent,D3_macro_percent
S1,entropy soft-MoE tau=3.0,0.8028169014084507,0.5446650124069479,0.6737409569076993,80.28169014084507,54.46650124069479,67.37409569076993,0.7692714132640801,0.495188696041123,76.927141326408,49.5188696041123
S2,entropy soft-MoE tau=4.0,0.8012519561815337,0.5471464019851117,0.6741991790833226,80.12519561815337,54.71464019851117,67.41991790833227,0.7683098748025416,0.4964105022046517,76.83098748025417,49.641050220465175
S3,entropy soft-MoE tau=3.0 with full_safe TTA,0.7981220657276995,0.5607940446650124,0.6794580551963559,79.81220657276995,56.07940446650124,67.9458055196356,0.7604644580927613,0.5041812133997293,76.04644580927614,50.418121339972934
S4,mean probability average,0.7981220657276995,0.5595533498759305,0.6788377078018151,79.81220657276995,55.955334987593055,67.88377078018151,0.7667991027524536,0.508985621303218,76.67991027524536,50.8985621303218
